eventDate ,eventID,occurrenceID ,decimalLatitude ,decimalLongitude ,eventTime ,habitat ,samplingProtocol ,scientificName ,taxonRank ,scientificNameID ,scientificNameAuthorship ,kingdom ,phylum ,class ,order ,family ,genus , measurementType , measurementUnit ,measurementValue
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Eualus,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Eualus,Genus,urn:lsid:marinespecies.org:taxname:106986,"Thallwitz, 1891",Animalia,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,biomass,Grams per 1000 square meter,8.536
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Euspira pallida,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Euspira pallida,Species,urn:lsid:marinespecies.org:taxname:140536,"Broderip & G. B. Sowerby I, 1829",Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,biomass,Grams per 1000 square meter,78.046
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Gattyana ciliata,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Gattyana ciliata,Species,urn:lsid:marinespecies.org:taxname:254456,"Moore, 1902",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gattyana,biomass,Grams per 1000 square meter,1.219
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Harmothoe imbricata,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Harmothoe imbricata,Species,urn:lsid:marinespecies.org:taxname:130769,"Linnaeus, 1767",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,biomass,Grams per 1000 square meter,1.219
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Labidochirus splendescens,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Labidochirus splendescens,Species,urn:lsid:marinespecies.org:taxname:248348,"Owen, 1839",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Labidochirus,biomass,Grams per 1000 square meter,2.439
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Leptasterias (Hexasterias) polaris katherinae,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Leptasterias (Hexasterias) polaris katherinae,Species,urn:lsid:marinespecies.org:taxname:379157,"Gray, 1840",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,biomass,Grams per 1000 square meter,113.41
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Leptasterias groenlandica,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Leptasterias groenlandica,Species,urn:lsid:marinespecies.org:taxname:369176,"Steenstrup in Lutken, 1857",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,biomass,Grams per 1000 square meter,57.315
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Margarites costalis,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Margarites costalis,Species,urn:lsid:marinespecies.org:taxname:141819,"A. Gould, 1841",Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,biomass,Grams per 1000 square meter,1.219
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Myriotrochus rinkii,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Myriotrochus rinkii,Species,urn:lsid:marinespecies.org:taxname:124446,"Steenstrup, 1851",Animalia,Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Myriotrochus,biomass,Grams per 1000 square meter,296.33
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Nemertea,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Nemertea,Phylum,urn:lsid:marinespecies.org:taxname:152391,NA,Animalia,Nemertea,NA,NA,NA,NA,biomass,Grams per 1000 square meter,3.658
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Neptunea communis,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Neptunea communis,Species,urn:lsid:marinespecies.org:taxname:254656,"Middendorff, 1849",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea,biomass,Grams per 1000 square meter,14.634
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Neptunea heros,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Neptunea heros,Species,urn:lsid:marinespecies.org:taxname:254479,"J. E. Gray, 1850",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea,biomass,Grams per 1000 square meter,45.12
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Notostomum laeve,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Notostomum laeve,Species,urn:lsid:marinespecies.org:taxname:116974,"Levinsen, 1882",Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Notostomum,biomass,Grams per 1000 square meter,2.439
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Ophiura sarsii,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Ophiura sarsii,Species,urn:lsid:marinespecies.org:taxname:124934,"Lütken, 1855",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,biomass,Grams per 1000 square meter,20271.173
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Pagurus capillatus,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Pagurus capillatus,Species,urn:lsid:marinespecies.org:taxname:254489,"Benedict, 1892",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,biomass,Grams per 1000 square meter,67.071
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Pagurus trigonocheirus,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Pagurus trigonocheirus,Species,urn:lsid:marinespecies.org:taxname:254490,"Stimpson, 1858",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,biomass,Grams per 1000 square meter,14.634
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Pardalisca,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Pardalisca,Genus,urn:lsid:marinespecies.org:taxname:101710,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,Pardalisca,biomass,Grams per 1000 square meter,0.122
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Phyllodoce groenlandica,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Phyllodoce groenlandica,Species,urn:lsid:marinespecies.org:taxname:334506,"Örsted, 1842",Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,biomass,Grams per 1000 square meter,1.219
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Polynoidae,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Polynoidae,Family,urn:lsid:marinespecies.org:taxname:939,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,NA,NA,biomass,Grams per 1000 square meter,0.122
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Quasimelita formosa,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Quasimelita formosa,Species,urn:lsid:marinespecies.org:taxname:423709,"Murdoch, 1885",Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Quasimelita,biomass,Grams per 1000 square meter,0.61
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Serripes groenlandicus,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Serripes groenlandicus,Species,urn:lsid:marinespecies.org:taxname:582749,"Mohr, 1786",Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Serripes,biomass,Grams per 1000 square meter,1.219
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Stomphia,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Stomphia,Genus,urn:lsid:marinespecies.org:taxname:100716,"Gosse, 1859",Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Stomphia,biomass,Grams per 1000 square meter,132.922
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Admete solida,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Admete solida,Species,urn:lsid:marinespecies.org:taxname:576338,"Aurivillius, 1885",Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,biomass,Grams per 1000 square meter,3.369
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Admete viridula,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Admete viridula,Species,urn:lsid:marinespecies.org:taxname:138969,"O. Fabricius, 1780",Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,biomass,Grams per 1000 square meter,0.842
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Argis,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Argis,Genus,urn:lsid:marinespecies.org:taxname:107006,"Krøyer, 1843",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,biomass,Grams per 1000 square meter,13.475
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Arrhis phyllonyx,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Arrhis phyllonyx,Species,urn:lsid:marinespecies.org:taxname:102870,"M. Sars, 1858",Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Arrhis,biomass,Grams per 1000 square meter,0.421
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Buccinum,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum,Genus,urn:lsid:marinespecies.org:taxname:137701,"Linnaeus, 1758",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,85.9
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Buccinum ciliatum,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum ciliatum,Species,urn:lsid:marinespecies.org:taxname:138860,"O. Fabricius, 1780",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,0.842
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Buccinum polare,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum polare,Species,urn:lsid:marinespecies.org:taxname:138873,"Gray, 1839",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,48.845
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Chionoecetes opilio,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Chionoecetes opilio,Species,urn:lsid:marinespecies.org:taxname:107315,"Fabricius, 1788",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,biomass,Grams per 1000 square meter,138.114
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Crangon dalli,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Crangon dalli,Species,urn:lsid:marinespecies.org:taxname:254486,"Rathbun, 1902",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,biomass,Grams per 1000 square meter,3.369
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Cryptonatica affinis,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Cryptonatica affinis,Species,urn:lsid:marinespecies.org:taxname:140525,"Gmelin, 1791",Animalia,Mollusca,Gastropoda,Littorinimorpha,Ticidae,Cryptonatica,biomass,Grams per 1000 square meter,160.852
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Eualus macilentus,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Eualus macilentus,Species,urn:lsid:marinespecies.org:taxname:158359,"Krøyer, 1841",Animalia,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,biomass,Grams per 1000 square meter,9.264
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Euspira pallida,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Euspira pallida,Species,urn:lsid:marinespecies.org:taxname:140536,"Broderip & G. B. Sowerby I, 1829",Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,biomass,Grams per 1000 square meter,16.843
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Gattyana ciliata,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Gattyana ciliata,Species,urn:lsid:marinespecies.org:taxname:254456,"Moore, 1902",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gattyana,biomass,Grams per 1000 square meter,2.526
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Gorgonocephalus eucnemis,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Gorgonocephalus eucnemis,Species,urn:lsid:marinespecies.org:taxname:124969,"Müller & Troschel, 1842",Animalia,Echinodermata,Ophiuroidea,Euryalida,Gorgonocephalidae,Gorgonocephalus,biomass,Grams per 1000 square meter,277.912
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Leptasterias (Hexasterias) polaris katherinae,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Leptasterias (Hexasterias) polaris katherinae,Species,urn:lsid:marinespecies.org:taxname:379157,"Gray, 1840",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,biomass,Grams per 1000 square meter,277.069
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Leptasterias groenlandica,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Leptasterias groenlandica,Species,urn:lsid:marinespecies.org:taxname:369176,"Steenstrup in Lutken, 1857",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,biomass,Grams per 1000 square meter,16.001
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Margarites costalis,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Margarites costalis,Species,urn:lsid:marinespecies.org:taxname:141819,"A. Gould, 1841",Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,biomass,Grams per 1000 square meter,0.842
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Nemertea,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Nemertea,Phylum,urn:lsid:marinespecies.org:taxname:152391,NA,Animalia,Nemertea,NA,NA,NA,NA,biomass,Grams per 1000 square meter,58.951
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Neocrangon communis,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Neocrangon communis,Species,urn:lsid:marinespecies.org:taxname:423552,"Rathbun, 1899",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Neocrangon,biomass,Grams per 1000 square meter,3.369
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Neptunea heros,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Neptunea heros,Species,urn:lsid:marinespecies.org:taxname:254479,"J. E. Gray, 1850",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea,biomass,Grams per 1000 square meter,32.844
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Ophiura sarsii,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Ophiura sarsii,Species,urn:lsid:marinespecies.org:taxname:124934,"Lütken, 1855",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,biomass,Grams per 1000 square meter,12680.349
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Pagurus capillatus,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Pagurus capillatus,Species,urn:lsid:marinespecies.org:taxname:254489,"Benedict, 1892",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,biomass,Grams per 1000 square meter,16.843
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Pardalisca,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Pardalisca,Genus,urn:lsid:marinespecies.org:taxname:101710,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,Pardalisca,biomass,Grams per 1000 square meter,0.842
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Quasimelita formosa,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Quasimelita formosa,Species,urn:lsid:marinespecies.org:taxname:423709,"Murdoch, 1885",Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Quasimelita,biomass,Grams per 1000 square meter,0.421
9/16/2023,SKQ202312S-DBO1.4,SKQ202312S-DBO1.4-Stomphia,62.388669,-174.576124,0:30:33,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Stomphia,Genus,urn:lsid:marinespecies.org:taxname:100716,"Gosse, 1859",Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Stomphia,biomass,Grams per 1000 square meter,137.271
9/16/2023,SKQ202312S-DBO1.8,SKQ202312S-DBO1.8-Admete solida,63.031423,-173.459672,13:06:03,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Admete solida,Species,urn:lsid:marinespecies.org:taxname:576338,"Aurivillius, 1885",Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,biomass,Grams per 1000 square meter,20.065
9/16/2023,SKQ202312S-DBO1.8,SKQ202312S-DBO1.8-Amphipoda,63.031423,-173.459672,13:06:03,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Amphipoda,Order,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,biomass,Grams per 1000 square meter,4.459
9/16/2023,SKQ202312S-DBO1.8,SKQ202312S-DBO1.8-Anomalisipho martensi,63.031423,-173.459672,13:06:03,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Anomalisipho martensi,Species,urn:lsid:marinespecies.org:taxname:821662,"A. Krause, 1885",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Anomalisipho,biomass,Grams per 1000 square meter,4.459
9/16/2023,SKQ202312S-DBO1.8,SKQ202312S-DBO1.8-Anonyx,63.031423,-173.459672,13:06:03,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Anonyx,Genus,urn:lsid:marinespecies.org:taxname:101592,"Krøyer, 1838",Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx,biomass,Grams per 1000 square meter,2.229
9/16/2023,SKQ202312S-DBO1.8,SKQ202312S-DBO1.8-Argis,63.031423,-173.459672,13:06:03,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Argis,Genus,urn:lsid:marinespecies.org:taxname:107006,"Krøyer, 1843",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,biomass,Grams per 1000 square meter,14.863
9/16/2023,SKQ202312S-DBO1.8,SKQ202312S-DBO1.8-Arrhis phyllonyx,63.031423,-173.459672,13:06:03,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Arrhis phyllonyx,Species,urn:lsid:marinespecies.org:taxname:102870,"M. Sars, 1858",Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Arrhis,biomass,Grams per 1000 square meter,0.223
